delivery_date,block_start,block_hour,clearing_price_eur_mw_week,demand_mw,surplus_mw
2025-02-03,2025-02-03 20:00:00,20,25.73,528,88
2025-02-04,2025-02-04 00:00:00,0,24.76,528,172
2025-02-04,2025-02-04 04:00:00,4,54.19,528,38
2025-02-04,2025-02-04 08:00:00,8,56.4,528,-3
2025-02-04,2025-02-04 12:00:00,12,56.0,528,122
2025-02-04,2025-02-04 16:00:00,16,50.5,528,-37
2025-02-04,2025-02-04 20:00:00,20,29.44,528,155
2025-02-05,2025-02-05 00:00:00,0,19.1,528,183
2025-02-05,2025-02-05 04:00:00,4,52.58,528,20
2025-02-05,2025-02-05 08:00:00,8,40.04,528,-3
2025-02-05,2025-02-05 12:00:00,12,40.32,528,13
2025-02-05,2025-02-05 16:00:00,16,41.87,528,-37
2025-02-05,2025-02-05 20:00:00,20,28.5,528,89
2025-02-06,2025-02-06 00:00:00,0,17.52,528,141
2025-02-06,2025-02-06 04:00:00,4,54.83,528,18
2025-02-06,2025-02-06 08:00:00,8,42.11,528,-15
2025-02-06,2025-02-06 12:00:00,12,40.32,528,21
2025-02-06,2025-02-06 16:00:00,16,44.0,528,-47
2025-02-06,2025-02-06 20:00:00,20,25.0,528,84
2025-02-07,2025-02-07 00:00:00,0,16.2,528,147
2025-02-07,2025-02-07 04:00:00,4,48.91,528,63
2025-02-07,2025-02-07 08:00:00,8,32.8,528,41
2025-02-07,2025-02-07 12:00:00,12,32.34,528,55
2025-02-07,2025-02-07 16:00:00,16,34.29,528,-10
2025-02-07,2025-02-07 20:00:00,20,22.0,528,111
2025-02-08,2025-02-08 00:00:00,0,16.08,528,142
2025-02-08,2025-02-08 04:00:00,4,30.47,528,172
2025-02-08,2025-02-08 08:00:00,8,29.5,528,104
2025-02-08,2025-02-08 12:00:00,12,27.96,528,133
2025-02-08,2025-02-08 16:00:00,16,25.0,528,48
2025-02-08,2025-02-08 20:00:00,20,17.1,528,75
2025-02-09,2025-02-09 00:00:00,0,15.0,528,189
2025-02-09,2025-02-09 04:00:00,4,20.96,528,189
2025-02-09,2025-02-09 08:00:00,8,26.3,528,88
2025-02-09,2025-02-09 12:00:00,12,29.25,528,167
2025-02-09,2025-02-09 16:00:00,16,30.0,528,49
2025-02-09,2025-02-09 20:00:00,20,16.64,528,144
2025-02-10,2025-02-10 00:00:00,0,17.2,528,145
2025-02-10,2025-02-10 04:00:00,4,39.6,528,112
2025-02-10,2025-02-10 08:00:00,8,35.14,528,31
2025-02-10,2025-02-10 12:00:00,12,30.0,528,50
2025-02-10,2025-02-10 16:00:00,16,33.83,528,4
2025-02-10,2025-02-10 20:00:00,20,17.0,528,91
2025-02-11,2025-02-11 00:00:00,0,18.96,528,113
2025-02-11,2025-02-11 04:00:00,4,45.85,528,72
2025-02-11,2025-02-11 08:00:00,8,50.88,528,0
2025-02-11,2025-02-11 12:00:00,12,32.0,528,71
2025-02-11,2025-02-11 16:00:00,16,40.0,528,-11
2025-02-11,2025-02-11 20:00:00,20,16.54,528,117
2025-02-12,2025-02-12 00:00:00,0,15.94,528,151
2025-02-12,2025-02-12 04:00:00,4,46.4,528,39
2025-02-12,2025-02-12 08:00:00,8,40.0,528,39
2025-02-12,2025-02-12 12:00:00,12,30.0,528,51
2025-02-12,2025-02-12 16:00:00,16,53.6,528,-15
2025-02-12,2025-02-12 20:00:00,20,15.82,528,92
2025-02-13,2025-02-13 00:00:00,0,20.3,528,71
2025-02-13,2025-02-13 04:00:00,4,46.75,528,-1
2025-02-13,2025-02-13 08:00:00,8,40.0,528,18
2025-02-13,2025-02-13 12:00:00,12,37.4,528,56
2025-02-13,2025-02-13 16:00:00,16,56.0,528,-27
2025-02-13,2025-02-13 20:00:00,20,24.74,528,80
2025-02-14,2025-02-14 00:00:00,0,15.99,528,110
2025-02-14,2025-02-14 04:00:00,4,41.0,528,2
2025-02-14,2025-02-14 08:00:00,8,40.0,528,6
2025-02-14,2025-02-14 12:00:00,12,33.0,528,36
2025-02-14,2025-02-14 16:00:00,16,44.0,528,-30
2025-02-14,2025-02-14 20:00:00,20,31.3,528,55
2025-02-15,2025-02-15 00:00:00,0,15.39,528,100
2025-02-15,2025-02-15 04:00:00,4,32.0,528,65
2025-02-15,2025-02-15 08:00:00,8,32.0,528,62
2025-02-15,2025-02-15 12:00:00,12,35.0,528,53
2025-02-15,2025-02-15 16:00:00,16,40.0,528,0
2025-02-15,2025-02-15 20:00:00,20,29.8,528,59
2025-02-16,2025-02-16 00:00:00,0,15.0,528,97
2025-02-16,2025-02-16 04:00:00,4,27.5,528,168
2025-02-16,2025-02-16 08:00:00,8,38.0,528,144
2025-02-16,2025-02-16 12:00:00,12,34.1,528,177
2025-02-16,2025-02-16 16:00:00,16,35.0,528,29
2025-02-16,2025-02-16 20:00:00,20,20.2,528,80
2025-02-17,2025-02-17 00:00:00,0,17.2,528,73
2025-02-17,2025-02-17 04:00:00,4,44.0,528,29
2025-02-17,2025-02-17 08:00:00,8,46.0,528,-19
2025-02-17,2025-02-17 12:00:00,12,40.46,528,54
2025-02-17,2025-02-17 16:00:00,16,81.84,528,-15
2025-02-17,2025-02-17 20:00:00,20,25.3,528,61
2025-02-18,2025-02-18 00:00:00,0,15.0,528,116
2025-02-18,2025-02-18 04:00:00,4,47.65,528,43
2025-02-18,2025-02-18 08:00:00,8,60.2,528,-33
2025-02-18,2025-02-18 12:00:00,12,49.92,528,27
2025-02-18,2025-02-18 16:00:00,16,96.0,528,-40
2025-02-18,2025-02-18 20:00:00,20,26.1,528,70
2025-02-19,2025-02-19 00:00:00,0,18.2,528,189
2025-02-19,2025-02-19 04:00:00,4,46.68,528,127
2025-02-19,2025-02-19 08:00:00,8,60.14,528,-25
2025-02-19,2025-02-19 12:00:00,12,73.93,528,-17
2025-02-19,2025-02-19 16:00:00,16,81.68,528,-74
2025-02-19,2025-02-19 20:00:00,20,23.37,528,87
2025-02-20,2025-02-20 00:00:00,0,16.95,528,179
2025-02-20,2025-02-20 04:00:00,4,43.59,528,71
2025-02-20,2025-02-20 08:00:00,8,55.64,528,17
2025-02-20,2025-02-20 12:00:00,12,88.0,528,6
2025-02-20,2025-02-20 16:00:00,16,60.0,528,-24
2025-02-20,2025-02-20 20:00:00,20,23.45,528,126
2025-02-21,2025-02-21 00:00:00,0,15.13,528,148
2025-02-21,2025-02-21 04:00:00,4,33.52,528,137
2025-02-21,2025-02-21 08:00:00,8,37.4,528,86
2025-02-21,2025-02-21 12:00:00,12,45.0,528,56
2025-02-21,2025-02-21 16:00:00,16,50.0,528,87
2025-02-21,2025-02-21 20:00:00,20,18.4,528,100
2025-02-22,2025-02-22 00:00:00,0,22.36,528,131
2025-02-22,2025-02-22 04:00:00,4,34.58,528,140
2025-02-22,2025-02-22 08:00:00,8,28.0,528,93
2025-02-22,2025-02-22 12:00:00,12,40.0,528,69
2025-02-22,2025-02-22 16:00:00,16,36.0,528,70
2025-02-22,2025-02-22 20:00:00,20,17.92,528,67
2025-02-23,2025-02-23 00:00:00,0,21.5,528,74
2025-02-23,2025-02-23 04:00:00,4,33.4,528,167
2025-02-23,2025-02-23 08:00:00,8,41.34,528,139
2025-02-23,2025-02-23 12:00:00,12,46.54,528,60
2025-02-23,2025-02-23 16:00:00,16,40.48,528,38
2025-02-23,2025-02-23 20:00:00,20,18.18,528,86
2025-02-24,2025-02-24 00:00:00,0,34.0,528,62
2025-02-24,2025-02-24 04:00:00,4,42.37,528,101
2025-02-24,2025-02-24 08:00:00,8,57.27,528,107
2025-02-24,2025-02-24 12:00:00,12,58.82,528,117
2025-02-24,2025-02-24 16:00:00,16,55.0,528,0
2025-02-24,2025-02-24 20:00:00,20,22.34,528,99
2025-02-25,2025-02-25 00:00:00,0,40.0,528,113
2025-02-25,2025-02-25 04:00:00,4,34.0,528,106
2025-02-25,2025-02-25 08:00:00,8,40.0,528,60
2025-02-25,2025-02-25 12:00:00,12,38.0,528,104
2025-02-25,2025-02-25 16:00:00,16,44.31,528,1
2025-02-25,2025-02-25 20:00:00,20,15.0,528,92
2025-02-26,2025-02-26 00:00:00,0,28.0,528,101
2025-02-26,2025-02-26 04:00:00,4,46.0,528,79
2025-02-26,2025-02-26 08:00:00,8,41.0,528,40
2025-02-26,2025-02-26 12:00:00,12,47.0,528,115
2025-02-26,2025-02-26 16:00:00,16,67.88,528,-15
2025-02-26,2025-02-26 20:00:00,20,35.53,528,76
2025-02-27,2025-02-27 00:00:00,0,17.0,528,146
2025-02-27,2025-02-27 04:00:00,4,40.32,528,26
2025-02-27,2025-02-27 08:00:00,8,40.0,528,79
2025-02-27,2025-02-27 12:00:00,12,42.32,528,86
2025-02-27,2025-02-27 16:00:00,16,51.8,528,-13
2025-02-27,2025-02-27 20:00:00,20,33.63,528,81
2025-02-28,2025-02-28 00:00:00,0,12.48,528,156
2025-02-28,2025-02-28 04:00:00,4,19.9,528,68
2025-02-28,2025-02-28 08:00:00,8,26.3,528,77
2025-02-28,2025-02-28 12:00:00,12,31.18,528,116
2025-02-28,2025-02-28 16:00:00,16,50.0,528,19
2025-02-28,2025-02-28 20:00:00,20,18.4,528,62
2025-03-01,2025-03-01 00:00:00,0,13.6,528,143
2025-03-01,2025-03-01 04:00:00,4,17.7,528,189
2025-03-01,2025-03-01 08:00:00,8,30.68,528,94
2025-03-01,2025-03-01 12:00:00,12,26.11,528,189
2025-03-01,2025-03-01 16:00:00,16,33.0,528,67
2025-03-01,2025-03-01 20:00:00,20,15.0,528,92
2025-03-02,2025-03-02 00:00:00,0,18.54,528,189
2025-03-02,2025-03-02 04:00:00,4,35.0,528,189
2025-03-02,2025-03-02 08:00:00,8,53.5,528,135
2025-03-02,2025-03-02 12:00:00,12,55.6,528,45
2025-03-02,2025-03-02 16:00:00,16,49.5,528,54
2025-03-02,2025-03-02 20:00:00,20,15.95,528,103
2025-03-03,2025-03-03 00:00:00,0,19.1,528,181
